sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total,cache_hit
7,0.010900,0.000034,0.000003,0.051265,0.000333,0.000005,0.000243,0.062785,0
3,0.023108,0.000101,0.000018,0.144656,0.004598,0.000011,0.000581,0.173078,0
5,0.016172,0.000053,0.000005,0.034515,0.000318,0.000006,0.006604,0.057682,0
3,0.023695,0.000082,0.000010,0.023725,0.000538,0.000013,0.006336,0.054415,0
8,0.016810,0.000028,0.000003,0.009667,0.000344,0.000006,0.000281,0.027141,0
11,0.010762,0.000025,0.000003,0.021003,0.000335,0.000004,0.000180,0.032312,0
5,0.024456,0.000058,0.000005,0.106559,0.000381,0.000008,0.002534,0.134010,0
2,0.032273,0.000048,0.000005,0.172643,0.000520,0.000010,0.036910,0.242420,0
9,0.008518,0.000033,0.000003,0.009544,0.000333,0.000005,0.000259,0.018699,0
4,0.014939,0.000053,0.000006,0.036233,0.000478,0.000008,0.000400,0.052123,0
2,0.020453,0.000047,0.000005,0.202507,0.000488,0.000011,0.009083,0.232606,0
3,0.019699,0.000055,0.000008,0.156702,0.000735,0.000023,0.008407,0.185643,0
6,0.017335,0.000077,0.000006,0.186455,0.000579,0.000015,0.003677,0.208155,0
4,0.014751,0.000062,0.000006,0.039176,0.000731,0.000013,0.003987,0.058737,0
3,0.020131,0.000053,0.000006,0.210290,0.000508,0.000010,0.015487,0.246497,0
12,0.007969,0.000032,0.000004,0.054613,0.000294,0.000004,0.000166,0.063084,0
5,0.018599,0.000058,0.000005,0.033581,0.000270,0.000004,0.000214,0.052732,0
10,0.009005,0.000037,0.000004,0.063037,0.000432,0.000006,0.000301,0.072826,0
13,0.009934,0.000028,0.000003,0.021786,0.000284,0.000004,0.000171,0.032212,0
3,0.019359,0.000053,0.000005,0.044520,0.000534,0.000013,0.009724,0.074219,0
5,0.024776,0.000092,0.000007,0.194681,0.000465,0.000009,0.004096,0.224138,0
4,0.014685,0.000057,0.000005,0.152835,0.000520,0.000015,0.003326,0.171459,0
4,0.019719,0.000060,0.000009,0.059922,0.000425,0.000007,0.003493,0.083651,0
3,0.017239,0.000054,0.000009,0.205880,0.000554,0.000011,0.000380,0.224132,0
14,0.007286,0.000034,0.000003,0.052148,0.000275,0.000004,0.000160,0.059911,0
11,0.013273,0.000032,0.000003,0.053839,0.000312,0.000005,0.000231,0.067697,0
3,0.031298,0.000092,0.000009,0.181185,0.000464,0.000009,0.029669,0.242738,0
6,0.019754,0.000052,0.000004,0.036452,0.000308,0.000004,0.008815,0.065402,0
4,0.019585,0.000038,0.000004,0.182077,0.000620,0.000013,0.000732,0.203078,0
6,0.019217,0.000051,0.000005,0.184735,0.000578,0.000011,0.003255,0.207863,0
6,0.014949,0.000042,0.000005,0.197795,0.000502,0.000014,0.002975,0.216292,0
3,0.013836,0.000051,0.000005,0.189649,0.000472,0.000009,0.027608,0.231640,0
15,0.011132,0.000031,0.000003,0.066608,0.000345,0.000006,0.000180,0.078308,0
12,0.015722,0.000036,0.000003,0.061359,0.000348,0.000006,0.000304,0.077781,0
4,0.020095,0.000061,0.000006,0.124190,0.000374,0.000005,0.005454,0.150195,0
4,0.015231,0.000062,0.000006,0.038688,0.000805,0.000030,0.019985,0.074820,0
7,0.024478,0.000071,0.000005,0.196024,0.000500,0.000010,0.003133,0.224230,0
5,0.031632,0.000085,0.000009,0.176996,0.000483,0.000009,0.002673,0.211895,0
7,0.017352,0.000050,0.000005,0.023282,0.000478,0.000011,0.016798,0.057991,0
4,0.031858,0.000048,0.000005,0.177398,0.000384,0.000004,0.021237,0.230942,0
6,0.030279,0.000094,0.000009,0.183232,0.000460,0.000011,0.000385,0.214476,0
5,0.021316,0.000051,0.000004,0.157982,0.000463,0.000008,0.001761,0.181598,0
4,0.014087,0.000053,0.000005,0.019270,0.000269,0.000004,0.031353,0.065053,0
5,0.017710,0.000069,0.000009,0.168297,0.000610,0.000014,0.003629,0.190348,0
13,0.012007,0.000035,0.000004,0.054729,0.000315,0.000004,0.000234,0.067330,0
16,0.011801,0.000036,0.000003,0.072886,0.000325,0.000004,0.000188,0.085246,0
7,0.016259,0.000050,0.000004,0.128738,0.000394,0.000006,0.001740,0.147199,0
4,0.016607,0.000054,0.000008,0.190662,0.000556,0.000012,0.000454,0.208361,0
7,0.014212,0.000054,0.000005,0.162485,0.000520,0.000013,0.004526,0.181825,0
14,0.010840,0.000033,0.000003,0.044909,0.000261,0.000004,0.000221,0.056274,0
5,0.027123,0.000096,0.000011,0.156147,0.000288,0.000005,0.000283,0.183956,0
5,0.023613,0.000115,0.000012,0.103565,0.000498,0.000009,0.012534,0.140357,0
17,0.011853,0.000033,0.000003,0.057438,0.000289,0.000004,0.000171,0.069793,0
6,0.019640,0.000072,0.000006,0.078381,0.000473,0.000008,0.001952,0.100539,0
5,0.009989,0.000036,0.000004,0.098847,0.000450,0.000008,0.013293,0.122638,0
15,0.013298,0.000046,0.000005,0.057146,0.000289,0.000004,0.000250,0.071041,0
6,0.012570,0.000047,0.000005,0.009813,0.000447,0.000009,0.015115,0.038016,0
5,0.016204,0.000039,0.000004,0.182220,0.000434,0.000007,0.006114,0.205031,0
7,0.018541,0.000040,0.000004,0.145545,0.000432,0.000009,0.000372,0.164950,0
8,0.018440,0.000056,0.000007,0.160948,0.000466,0.000013,0.002909,0.182847,0
6,0.022290,0.000056,0.000005,0.067072,0.000333,0.000006,0.000344,0.090112,0
8,0.016739,0.000048,0.000004,0.116947,0.000448,0.000007,0.001967,0.136167,0
18,0.010764,0.000040,0.000003,0.065330,0.000319,0.000005,0.000206,0.076670,0
16,0.014369,0.000046,0.000004,0.023619,0.000443,0.000008,0.000426,0.038920,0
7,0.019246,0.000054,0.000004,0.064595,0.000566,0.000013,0.002617,0.087105,0
8,0.031246,0.000071,0.000008,0.213549,0.000568,0.000010,0.003023,0.248485,0
6,0.018266,0.000053,0.000005,0.213234,0.000586,0.000013,0.003638,0.235803,0
19,0.013453,0.000033,0.000003,0.018657,0.000297,0.000004,0.000164,0.032613,0
6,0.023761,0.000069,0.000012,0.177453,0.000528,0.000013,0.004005,0.205854,0
5,0.016676,0.000068,0.000011,0.166062,0.000473,0.000005,0.000295,0.183593,0
5,0.014222,0.000053,0.000007,0.198758,0.000386,0.000005,0.019113,0.232554,0
9,0.034854,0.000055,0.000005,0.040815,0.000607,0.000017,0.004340,0.080708,0
17,0.008343,0.000032,0.000003,0.054964,0.000370,0.000005,0.000252,0.063972,0
8,0.020673,0.000056,0.000004,0.066587,0.000559,0.000014,0.000463,0.088364,0
6,0.017107,0.000046,0.000004,0.142182,0.000509,0.000006,0.020381,0.180249,0
20,0.011466,0.000032,0.000003,0.065323,0.000296,0.000004,0.000223,0.077347,0
9,0.016794,0.000039,0.000005,0.108028,0.000404,0.000006,0.001897,0.127179,0
6,0.011021,0.000041,0.000003,0.039585,0.000426,0.000006,0.027287,0.078383,0
8,0.021262,0.000068,0.000006,0.226496,0.000607,0.000008,0.003609,0.252066,0
18,0.020821,0.000046,0.000003,0.066852,0.000452,0.000004,0.000346,0.088531,0
7,0.013344,0.008168,0.000005,0.168805,0.000573,0.000011,0.015500,0.206418,0
21,0.010561,0.000030,0.000003,0.049630,0.000284,0.000004,0.000165,0.060680,0
7,0.023923,0.000060,0.000005,0.036681,0.000525,0.000009,0.015805,0.077018,0
6,0.018041,0.000049,0.000007,0.112942,0.000390,0.000005,0.000245,0.131681,0
7,0.018655,0.000048,0.000004,0.169706,0.008680,0.000012,0.000602,0.197714,0
